review_id,product_name,rating,review_text,review_date
1,Smartphone X12,2,Great quality and fast delivery. Highly recommended!,04-11-2025
2,Smartphone X12,1,Stopped working after a few days.,28-02-2025
3,Smartphone X12,3,Delivery was on time but packaging was basic.,26-02-2025
4,Wireless Earbuds Pro,5,Customer support was not helpful at all.,16-10-2025
5,Laptop Air 14,2,Delivery was on time but packaging was basic.,16-06-2025
6,Fitness Tracker Z,5,Stopped working after a few days.,09-04-2025
7,Fitness Tracker Z,5,Not worth the price.,16-04-2025
8,Fitness Tracker Z,1,Customer support was not helpful at all.,14-11-2025
9,Laptop Air 14,5,"Absolutely love the product, it exceeded my expectations.",02-01-2026
10,Bluetooth Speaker Max,5,It's fine for the price.,31-08-2025
11,Wireless Earbuds Pro,1,Delivery was on time but packaging was basic.,17-05-2025
12,Bluetooth Speaker Max,2,"Not bad, but could be improved.",27-01-2026
13,Fitness Tracker Z,2,Delivery was on time but packaging was basic.,30-01-2026
14,Wireless Earbuds Pro,4,"Not bad, but could be improved.",16-02-2026
15,Bluetooth Speaker Max,4,Worth the money. Would definitely buy again.,23-04-2025
16,Fitness Tracker Z,3,Great quality and fast delivery. Highly recommended!,20-05-2025
17,Bluetooth Speaker Max,2,Delivery was on time but packaging was basic.,18-02-2026
18,Smartphone X12,2,"Not bad, but could be improved.",08-01-2026
19,Wireless Earbuds Pro,1,Delivery was on time but packaging was basic.,18-12-2025
20,Wireless Earbuds Pro,3,Delivery was on time but packaging was basic.,02-01-2026
21,Bluetooth Speaker Max,3,Not worth the price.,08-10-2025
22,Bluetooth Speaker Max,4,Excellent build quality and easy to use.,07-10-2025
23,Laptop Air 14,5,"The product is okay, does the job.",12-04-2025
24,Smartphone X12,1,Very disappointed with the product quality.,05-12-2025
25,Bluetooth Speaker Max,1,Excellent build quality and easy to use.,16-03-2025
26,Fitness Tracker Z,1,Very disappointed with the product quality.,16-08-2025
27,Fitness Tracker Z,1,Delivery was on time but packaging was basic.,24-10-2025
28,Wireless Earbuds Pro,2,Delivery was on time but packaging was basic.,07-02-2026
29,Wireless Earbuds Pro,5,The product arrived damaged.,27-12-2025
