review,label
"The product quality is amazing, I absolutely love it!",1
"Fantastic service, I received my order on time.",1
"Very comfortable and stylish, exceeded my expectations!",1
"Excellent customer support, they resolved my issue quickly.",1
The app is very user-friendly and intuitive to use.,1
"Highly recommended, great value for the price!",1
"Superb experience, I will definitely buy again.",1
"The features are outstanding, much better than competitors.",1
"Great packaging and fast delivery, very happy with my purchase.",1
"The best investment I made, totally worth the money!",1
"Terrible experience, the product stopped working after a week.",0
"Worst service ever, I never received my order.",0
"Extremely poor quality, I regret buying this.",0
Customer support was rude and unhelpful.,0
"The app crashes frequently, very frustrating to use.",0
"Not worth the money, very disappointing purchase.",0
"Misleading description, not as advertised at all.",0
"Very slow shipping, took over a month to arrive.",0
"Doesn't function as expected, completely useless.",0
"Defective item, had to return it immediately.",0
"The product is okay, nothing special about it.",2
"Average quality, does the job but not great.",2
"Delivery was neither fast nor slow, just standard.",2
Customer support was decent but not exceptional.,2
App works fine but could use some improvements.,2
"Not bad, but Ive seen better.",2
"It's a decent product, but overpriced for the features.",2
"The service was acceptable, nothing extraordinary.",2
"Packaging was alright, but could be improved.",2
"Product works as expected, but lacks innovation.",2
